exp_id,host,pathogen,temp_treat,mat_temp,acc_temp,treatment,ref,indv_id,exposed,birth_date,inf_date,death_date,total_clutches,total_offspring,infected,mature_spores,all_spores,pre_spores,lifespan_days
TH290120,M,CTRL,20-20,20,20,CTRL-20-20,37,CTRL-20-20-37,N,10/3/20,13/3/20,26/5/20,16,569,NA,NA,NA,NA,77
TH290120,M,CTRL,20-20,20,20,CTRL-20-20,38,CTRL-20-20-38,N,10/3/20,13/3/20,22/5/20,14,470,NA,NA,NA,NA,73
TH290120,M,CTRL,20-20,20,20,CTRL-20-20,42,CTRL-20-20-42,N,10/3/20,13/3/20,24/5/20,15,598,NA,NA,NA,NA,75
TH290120,M,CTRL,20-20,20,20,CTRL-20-20,43,CTRL-20-20-43,N,10/3/20,13/3/20,23/6/20,22,668,NA,NA,NA,NA,105
TH290120,M,CTRL,20-20,20,20,CTRL-20-20,44,CTRL-20-20-44,N,10/3/20,13/3/20,10/5/20,14,372,NA,NA,NA,NA,61
TH290120,M,CTRL,20-20,20,20,CTRL-20-20,48,CTRL-20-20-48,N,10/3/20,13/3/20,2/7/20,26,674,NA,NA,NA,NA,114
TH290120,M,CTRL,20-20,20,20,CTRL-20-20,52,CTRL-20-20-52,N,10/3/20,13/3/20,12/6/20,21,649,NA,NA,NA,NA,94
TH290120,M,CTRL,20-20,20,20,CTRL-20-20,53,CTRL-20-20-53,N,10/3/20,13/3/20,19/6/20,23,487,NA,NA,NA,NA,101
TH290120,M,CTRL,20-20,20,20,CTRL-20-20,55,CTRL-20-20-55,N,10/3/20,13/3/20,19/6/20,22,667,NA,NA,NA,NA,101
TH290120,M,CTRL,20-20,20,20,CTRL-20-20,56,CTRL-20-20-56,N,10/3/20,13/3/20,27/5/20,17,569,NA,NA,NA,NA,78
TH290120,M,CTRL,20-20,20,20,CTRL-20-20,57,CTRL-20-20-57,N,10/3/20,13/3/20,3/7/20,24,642,NA,NA,NA,NA,115
TH290120,M,CTRL,20-20,20,20,CTRL-20-20,60,CTRL-20-20-60,N,10/3/20,13/3/20,2/5/20,10,347,NA,NA,NA,NA,53
TH290120,M,C1,20-20,20,20,C1-20-20,34,C1-20-20-34,Y,10/3/20,13/3/20,14/5/20,3,46,M,8951750,10220250,1268500,65
TH290120,M,C1,20-20,20,20,C1-20-20,36,C1-20-20-36,Y,10/3/20,13/3/20,25/4/20,4,97,M,3477250,4430250,953000,46
TH290120,M,C1,20-20,20,20,C1-20-20,37,C1-20-20-37,Y,10/3/20,13/3/20,11/5/20,4,86,M,6696000,7519250,823250,62
TH290120,M,C1,20-20,20,20,C1-20-20,38,C1-20-20-38,Y,10/3/20,13/3/20,24/5/20,4,58,M,3206250,3411500,205250,75
TH290120,M,C1,20-20,20,20,C1-20-20,39,C1-20-20-39,Y,10/3/20,13/3/20,16/5/20,3,54,M,9373250,10656000,1282750,67
TH290120,M,C1,20-20,20,20,C1-20-20,40,C1-20-20-40,Y,10/3/20,13/3/20,12/5/20,2,74,M,7613000,8661250,1048250,63
TH290120,M,C1,20-20,20,20,C1-20-20,47,C1-20-20-47,Y,10/3/20,13/3/20,10/4/20,3,68,M,2258250,3594000,1335750,31
TH290120,M,C1,20-20,20,20,C1-20-20,48,C1-20-20-48,Y,10/3/20,13/3/20,10/4/20,4,79,P,715000,958500,243500,31
TH290120,M,C1,20-20,20,20,C1-20-20,49,C1-20-20-49,Y,10/3/20,13/3/20,5/4/20,2,40,N,106250,197500,91250,26
TH290120,M,C1,20-20,20,20,C1-20-20,50,C1-20-20-50,Y,10/3/20,13/3/20,5/5/20,2,48,M,6708000,8603250,1895250,56
TH290120,M,C1,20-20,20,20,C1-20-20,51,C1-20-20-51,Y,10/3/20,13/3/20,16/5/20,3,67,M,13244250,15030250,1786000,67
TH290120,M,C1,20-20,20,20,C1-20-20,52,C1-20-20-52,Y,10/3/20,13/3/20,24/5/20,3,54,M,13536250,14629750,1093500,75
TH290120,M,C1,20-20,20,20,C1-20-20,54,C1-20-20-54,Y,10/3/20,13/3/20,30/5/20,3,55,M,9451250,10436250,985000,81
TH290120,M,C1,20-20,20,20,C1-20-20,57,C1-20-20-57,Y,10/3/20,13/3/20,12/5/20,2,51,M,5957250,6848750,891500,63
TH290120,M,C1,20-20,20,20,C1-20-20,59,C1-20-20-59,Y,10/3/20,13/3/20,6/5/20,2,47,M,5522250,6268750,746500,57
TH290120,M,C1,20-20,20,20,C1-20-20,60,C1-20-20-60,Y,10/3/20,13/3/20,14/5/20,3,46,M,8890500,9659250,768750,65
TH290120,M,C1,20-20,20,20,C1-20-20,62,C1-20-20-62,Y,10/3/20,13/3/20,27/4/20,3,50,M,4644750,6064250,1419500,48
TH290120,M,C14,20-20,20,20,C14-20-20,32,C14-20-20-32,Y,10/3/20,13/3/20,28/5/20,3,47,M,8973750,11281500,2307750,79
TH290120,M,C14,20-20,20,20,C14-20-20,33,C14-20-20-33,Y,10/3/20,13/3/20,15/4/20,3,93,M,3180000,3835500,655500,36
TH290120,M,C14,20-20,20,20,C14-20-20,34,C14-20-20-34,Y,10/3/20,13/3/20,3/5/20,3,39,M,8564250,9788250,1224000,54
TH290120,M,C14,20-20,20,20,C14-20-20,35,C14-20-20-35,Y,10/3/20,13/3/20,13/5/20,2,48,M,6734500,7453500,719000,64
TH290120,M,C14,20-20,20,20,C14-20-20,36,C14-20-20-36,Y,10/3/20,13/3/20,25/5/20,3,39,M,2480750,2933250,452500,76
TH290120,M,C14,20-20,20,20,C14-20-20,38,C14-20-20-38,Y,10/3/20,13/3/20,12/5/20,2,44,M,7996000,9976000,1980000,63
TH290120,M,C14,20-20,20,20,C14-20-20,41,C14-20-20-41,Y,10/3/20,13/3/20,24/5/20,3,32,M,6927500,7864500,937000,75
TH290120,M,C14,20-20,20,20,C14-20-20,48,C14-20-20-48,Y,10/3/20,13/3/20,20/5/20,2,37,M,7728250,8715750,987500,71
TH290120,M,C14,20-20,20,20,C14-20-20,50,C14-20-20-50,Y,10/3/20,13/3/20,13/5/20,3,87,M,8562250,11077250,2515000,64
TH290120,M,C14,20-20,20,20,C14-20-20,51,C14-20-20-51,Y,10/3/20,13/3/20,11/4/20,3,44,M,676500,1006750,330250,32
TH290120,M,C20,20-20,20,20,C20-20-20,34,C20-20-20-34,Y,10/3/20,13/3/20,23/4/20,4,99,M,5414000,6396500,982500,44
TH290120,M,C20,20-20,20,20,C20-20-20,36,C20-20-20-36,Y,10/3/20,13/3/20,30/4/20,3,83,M,9170000,16491000,7321000,51
