exp_id,host,pathogen,temp_treat,mat_temp,acc_temp,ref,indv_id,exposed,birth_date,inf_date,date,sex,clutch,offspring,alive_dead,cum_off,death_date,host_age,alive_dead_status
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-03-24,FEMALE,1,14,ALIVE,14,2020-05-26,14,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-03-27,FEMALE,1,44,ALIVE,58,2020-05-26,17,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-03-30,FEMALE,1,49,ALIVE,107,2020-05-26,20,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-04-07,FEMALE,1,49,ALIVE,156,2020-05-26,28,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-04-10,FEMALE,1,57,ALIVE,213,2020-05-26,31,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-04-14,FEMALE,1,15,ALIVE,228,2020-05-26,35,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-04-17,FEMALE,1,30,ALIVE,258,2020-05-26,38,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-04-24,FEMALE,1,45,ALIVE,303,2020-05-26,45,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-04-28,FEMALE,1,47,ALIVE,350,2020-05-26,49,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-05-02,FEMALE,1,22,ALIVE,372,2020-05-26,53,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-05-04,FEMALE,1,30,ALIVE,402,2020-05-26,55,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-05-11,FEMALE,1,41,ALIVE,443,2020-05-26,62,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-05-14,FEMALE,1,48,ALIVE,491,2020-05-26,65,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-05-18,FEMALE,1,9,ALIVE,500,2020-05-26,69,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-05-21,FEMALE,1,32,ALIVE,532,2020-05-26,72,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-05-25,FEMALE,1,37,ALIVE,569,2020-05-26,76,1
TH290120,M,CTRL,20-20,20,20,37,CTRL-20-20-37,N,2020-03-10,2020-03-13,2020-05-26,FEMALE,0,0,DEAD,569,2020-05-26,77,2
TH290120,M,CTRL,20-20,20,20,38,CTRL-20-20-38,N,2020-03-10,2020-03-13,2020-03-24,FEMALE,1,15,ALIVE,15,2020-05-22,14,1
TH290120,M,CTRL,20-20,20,20,38,CTRL-20-20-38,N,2020-03-10,2020-03-13,2020-03-27,FEMALE,1,45,ALIVE,60,2020-05-22,17,1
TH290120,M,CTRL,20-20,20,20,38,CTRL-20-20-38,N,2020-03-10,2020-03-13,2020-03-30,FEMALE,1,46,ALIVE,106,2020-05-22,20,1
TH290120,M,CTRL,20-20,20,20,38,CTRL-20-20-38,N,2020-03-10,2020-03-13,2020-04-07,FEMALE,1,39,ALIVE,145,2020-05-22,28,1
TH290120,M,CTRL,20-20,20,20,38,CTRL-20-20-38,N,2020-03-10,2020-03-13,2020-04-10,FEMALE,1,61,ALIVE,206,2020-05-22,31,1
TH290120,M,CTRL,20-20,20,20,38,CTRL-20-20-38,N,2020-03-10,2020-03-13,2020-04-14,FEMALE,1,21,ALIVE,227,2020-05-22,35,1
TH290120,M,CTRL,20-20,20,20,38,CTRL-20-20-38,N,2020-03-10,2020-03-13,2020-04-17,FEMALE,1,32,ALIVE,259,2020-05-22,38,1
TH290120,M,CTRL,20-20,20,20,38,CTRL-20-20-38,N,2020-03-10,2020-03-13,2020-04-21,FEMALE,1,50,ALIVE,309,2020-05-22,42,1
TH290120,M,CTRL,20-20,20,20,38,CTRL-20-20-38,N,2020-03-10,2020-03-13,2020-04-28,FEMALE,1,49,ALIVE,358,2020-05-22,49,1
